age,job,balance,housing,loan,contact,campaign,pdays,poutcome,month_num,was_contacted_previously,age_group,proba_deposit(%),predicted_label
35,technician,204.0,yes,no,cellular,1.0,0,unknown,5,0,25-35,39.0,no
33,services,0.0,yes,no,cellular,2.0,0,unknown,5,0,25-35,36.0,no
51,technician,130.0,no,no,cellular,3.0,0,unknown,8,0,45-55,36.5,no
39,blue-collar,462.0,yes,no,cellular,1.0,0,unknown,5,0,35-45,7.5,no
41,technician,128.0,yes,no,cellular,2.0,0,unknown,8,0,35-45,30.0,no
32,unemployed,2996.0,yes,no,unknown,1.0,0,unknown,5,0,25-35,15.0,no
45,blue-collar,360.0,no,no,unknown,2.0,0,unknown,6,0,35-45,38.0,no
47,technician,0.0,no,no,unknown,1.0,0,unknown,11,0,45-55,51.0,yes
43,blue-collar,953.0,yes,no,unknown,1.0,0,unknown,5,0,35-45,5.5,no
45,services,608.0,yes,yes,cellular,3.0,323,failure,5,1,35-45,33.0,no
35,management,687.0,yes,no,unknown,2.0,0,unknown,5,0,25-35,32.5,no
67,retired,704.0,no,no,cellular,2.0,97,success,2,1,65+,100.0,yes
40,blue-collar,100.0,yes,no,unknown,2.0,0,unknown,5,0,35-45,9.0,no
78,retired,55.0,no,no,telephone,3.0,90,other,11,1,65+,75.0,yes
39,blue-collar,785.0,yes,no,cellular,2.0,0,unknown,5,0,35-45,41.0,no
49,management,1556.0,yes,no,cellular,3.0,0,unknown,7,0,45-55,21.0,no
45,technician,3395.0,yes,no,cellular,1.0,188,failure,11,1,35-45,18.0,no
33,student,2321.0,no,no,cellular,2.0,381,failure,4,1,25-35,79.0,yes
54,retired,0.0,yes,no,cellular,2.0,0,unknown,7,0,45-55,16.62,no
58,management,1697.0,no,no,unknown,2.0,0,unknown,6,0,55-65,33.0,no
49,technician,486.0,no,no,telephone,5.0,0,unknown,7,0,45-55,14.0,no
32,technician,28.0,yes,no,cellular,1.0,0,unknown,11,0,25-35,26.0,no
25,blue-collar,-289.0,yes,no,telephone,2.0,0,unknown,5,0,<25,36.5,no
47,management,1147.0,no,no,cellular,1.0,95,failure,6,1,45-55,85.5,yes
49,admin.,0.0,no,no,cellular,2.0,0,unknown,8,0,45-55,24.0,no
31,unknown,111.0,no,no,cellular,2.0,93,failure,11,1,25-35,72.0,yes
74,retired,670.0,no,no,cellular,5.0,0,unknown,4,0,65+,78.5,yes
55,technician,3899.0,yes,no,telephone,4.0,0,unknown,7,0,45-55,17.0,no
29,management,54.0,yes,yes,unknown,3.0,0,unknown,5,0,25-35,53.5,yes
51,entrepreneur,805.0,yes,no,cellular,4.0,0,unknown,8,0,45-55,52.0,yes
55,retired,1821.0,no,no,cellular,2.0,0,unknown,8,0,45-55,57.5,yes
32,technician,-770.0,yes,no,cellular,1.0,0,unknown,5,0,25-35,33.5,no
33,management,2599.0,no,no,cellular,2.0,0,unknown,4,0,25-35,88.5,yes
30,blue-collar,128.0,yes,no,unknown,1.0,0,unknown,5,0,25-35,14.0,no
28,technician,4020.5,no,no,cellular,2.0,238,other,10,1,25-35,92.0,yes
35,blue-collar,602.0,yes,no,cellular,6.0,0,unknown,5,0,25-35,32.0,no
80,housemaid,0.0,no,no,cellular,1.0,189,failure,2,1,65+,68.5,yes
68,retired,4020.5,yes,no,cellular,1.0,0,unknown,8,0,65+,80.0,yes
47,unknown,677.0,no,no,cellular,2.0,86,failure,4,1,45-55,73.0,yes
51,entrepreneur,606.0,yes,no,unknown,6.0,0,unknown,5,0,45-55,18.5,no
30,management,4020.5,yes,no,cellular,1.0,0,unknown,11,0,25-35,91.0,yes
76,retired,3049.0,no,no,cellular,3.0,0,unknown,3,0,65+,79.0,yes
42,entrepreneur,169.0,yes,no,telephone,4.0,0,unknown,5,0,35-45,14.0,no
53,admin.,1796.0,no,no,telephone,1.0,91,success,3,1,45-55,91.0,yes
38,management,4020.5,yes,no,cellular,4.0,0,unknown,5,0,35-45,41.5,no
45,entrepreneur,1273.0,yes,yes,cellular,2.0,162,failure,11,1,35-45,24.5,no
53,retired,-309.0,yes,no,cellular,2.0,428,success,8,1,45-55,89.0,yes
34,management,-311.0,yes,no,unknown,2.0,0,unknown,5,0,25-35,18.5,no
46,technician,3434.0,no,yes,cellular,1.0,0,unknown,2,0,45-55,37.5,no
72,retired,4020.5,no,no,cellular,5.0,184,success,11,1,65+,90.5,yes
37,retired,71.0,no,yes,cellular,1.0,0,unknown,5,0,35-45,45.5,no
55,technician,570.0,no,no,cellular,6.0,0,unknown,8,0,45-55,65.0,yes
41,blue-collar,201.0,yes,no,cellular,1.0,0,unknown,2,0,35-45,46.5,no
32,blue-collar,333.0,yes,no,cellular,2.0,0,unknown,5,0,25-35,11.0,no
35,technician,0.0,yes,no,cellular,1.0,96,success,11,1,25-35,83.5,yes
34,unemployed,309.0,no,no,cellular,1.0,0,unknown,2,0,25-35,55.0,yes
56,technician,2847.0,no,no,cellular,1.0,0,unknown,4,0,55-65,94.5,yes
23,technician,356.0,yes,no,cellular,2.0,356,failure,5,1,<25,46.0,no
37,technician,-59.0,yes,no,cellular,1.0,0,unknown,7,0,35-45,57.5,yes
40,blue-collar,-35.0,yes,no,cellular,3.0,0,unknown,5,0,35-45,54.0,yes
40,blue-collar,1451.0,no,no,cellular,1.0,0,unknown,6,0,35-45,84.5,yes
30,management,1942.0,yes,yes,cellular,2.0,178,other,11,1,25-35,34.5,no
46,management,273.0,yes,no,cellular,1.0,105,failure,9,1,45-55,52.5,yes
51,management,93.0,yes,yes,cellular,1.0,0,unknown,5,0,45-55,43.5,no
35,blue-collar,1084.0,yes,no,cellular,1.0,0,unknown,7,0,25-35,22.0,no
56,entrepreneur,-124.0,yes,no,unknown,5.0,0,unknown,5,0,55-65,26.5,no
41,blue-collar,219.0,no,yes,unknown,3.0,0,unknown,6,0,35-45,18.5,no
60,technician,367.0,no,no,cellular,2.0,0,unknown,8,0,55-65,35.5,no
36,technician,4020.5,yes,no,telephone,1.0,335,failure,5,1,35-45,40.5,no
33,entrepreneur,606.0,yes,no,cellular,1.0,0,unknown,2,0,25-35,45.0,no
35,blue-collar,149.0,yes,no,cellular,3.0,349,other,4,1,25-35,44.5,no
48,blue-collar,559.0,yes,no,unknown,2.0,0,unknown,5,0,45-55,57.0,yes
48,technician,4020.5,no,no,cellular,6.0,0,unknown,8,0,45-55,23.5,no
29,technician,0.0,no,no,unknown,2.0,0,unknown,5,0,25-35,11.0,no
37,blue-collar,811.0,yes,yes,cellular,3.0,0,unknown,4,0,35-45,22.0,no
36,technician,376.0,no,no,cellular,1.0,92,success,11,1,35-45,89.0,yes
40,technician,1871.0,yes,no,cellular,1.0,0,unknown,11,0,35-45,19.0,no
50,housemaid,388.0,no,no,cellular,2.0,99,failure,9,1,45-55,79.5,yes
48,unemployed,201.0,no,no,cellular,1.0,0,unknown,8,0,45-55,87.0,yes
